95.9	6.16e-11
96	5.71e-11
96.1	5.30e-11
96.2	4.91e-11
96.3	4.55e-11
96.4	4.21e-11
96.5	3.89e-11
96.6	3.59e-11
96.7	3.32e-11
96.8	3.06e-11
96.9	2.82e-11
97	2.60e-11
97.1	2.39e-11
97.2	2.19e-11
97.3	2.01e-11
97.4	1.85e-11
97.5	1.69e-11
97.6	1.55e-11
97.7	1.42e-11
97.8	1.29e-11
97.9	1.18e-11
98	1.07e-11
98.1	9.77e-12
98.2	8.87e-12
98.3	8.05e-12
98.4	7.29e-12
98.5	6.60e-12
98.6	5.96e-12
98.7	5.38e-12
98.8	4.84e-12
98.9	4.35e-12
99	3.90e-12
99.1	3.50e-12
99.2	3.13e-12
99.3	2.79e-12
99.4	2.48e-12
99.5	2.20e-12
99.6	1.95e-12
99.7	1.73e-12
99.8	1.52e-12
99.9	1.34e-12
100	1.18e-12
100.1	1.03e-12
100.2	8.96e-13
100.3	7.79e-13
100.4	6.75e-13
100.5	5.83e-13
100.6	5.01e-13
100.7	4.29e-13
100.8	3.66e-13
100.9	3.11e-13
101	2.63e-13
101.1	2.21e-13
101.2	1.85e-13
101.3	1.53e-13
101.4	1.27e-13
101.5	1.04e-13
101.6	8.48e-14
101.7	6.85e-14
101.8	5.49e-14
101.9	4.36e-14
102	3.43e-14
102.1	2.67e-14
102.2	2.05e-14
102.3	1.56e-14
102.4	1.16e-14
102.5	8.55e-15
102.6	6.17e-15
102.7	4.36e-15
102.8	3.01e-15
102.9	2.02e-15
103	1.31e-15
103.1	8.22e-16
103.2	4.91e-16
103.3	2.78e-16
103.4	1.47e-16
103.5	7.08e-17
103.6	3.03e-17
103.7	1.10e-17
103.8	3.12e-18
103.9	5.82e-19
104	4.68e-20
104.1	2.43e-22
